,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,,,
2021-02-15,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,
2021-03-01,0.06666666666666667,0.0,,0.05,0.06666666666666667,,0.0,0.0027182539682539682,0.0,,0.0008062085593731163,0.0007871203121295292,,0.0
2021-03-02,0.06666666666666667,0.0,,0.06666666666666667,0.06666666666666667,,0.0,0.0027182539682539682,0.0,,0.0010626188157833727,0.0007871203121295292,,0.0
2021-03-03,0.06666666666666667,0.0,,0.06666666666666667,0.06666666666666667,,0.0,0.0027182539682539682,0.0,,0.0010626188157833727,0.0007871203121295292,,0.0
2021-03-04,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0010626188157833727,0.0007871203121295292,,0.0
2021-03-05,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0010626188157833727,0.0007871203121295292,,0.0
2021-03-06,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0010626188157833727,0.0007871203121295292,,0.0
2021-03-07,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0010626188157833727,0.0007871203121295292,,0.0
2021-03-08,0.06666666666666667,0.0,0.0,0.08333333333333333,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.001355016476602086,0.0007871203121295292,,0.0
2021-03-09,0.06666666666666667,,0.0,0.08333333333333333,0.06666666666666667,,0.0,0.0027182539682539682,,0.0,0.001355016476602086,0.0007871203121295292,,0.0
2021-03-10,0.06666666666666667,0.0,0.0,0.1,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0016375023523083007,0.0007871203121295292,,0.0
2021-03-11,0.06666666666666667,0.0,0.0,0.1,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0016375023523083007,0.0007871203121295292,,0.0
2021-03-12,0.06666666666666667,0.0,0.0,0.1,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0016375023523083007,0.0007871203121295292,,0.0
2021-03-13,0.06666666666666667,0.0,0.0,0.1,0.06666666666666667,,0.0,0.0027182539682539682,0.0,0.0,0.0016375023523083007,0.0007871203121295292,,0.0
2021-03-14,0.05,0.0,0.0,0.1,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.0016375023523083007,0.0007871203121295292,,0.0
2021-03-15,0.05,0.0,0.0,0.1,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.0016375023523083007,0.0007871203121295292,,0.0
2021-03-16,0.05,0.0,0.0,0.11666666666666667,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.001958015172821121,0.0007871203121295292,,0.0
2021-03-17,0.05,0.0,0.0,0.11666666666666667,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.001958015172821121,0.0007871203121295292,,0.0
2021-03-18,0.05,0.0,0.0,0.11666666666666667,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.001958015172821121,0.0007871203121295292,,0.0
2021-03-19,0.05,0.0,0.0,0.08333333333333333,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.001362777077583026,0.0007871203121295292,,0.0
2021-03-20,0.05,0.0,0.0,0.08333333333333333,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.001362777077583026,0.0007871203121295292,,0.0
2021-03-21,0.05,0.0,0.0,0.08333333333333333,0.06666666666666667,,0.0,0.001884920634920635,0.0,0.0,0.001362777077583026,0.0007871203121295292,,0.0
2021-03-22,0.05,0.0,0.0,0.08333333333333333,0.08333333333333333,,0.0,0.001884920634920635,0.0,0.0,0.001362777077583026,0.0010559375164306045,,0.0
2021-03-23,0.05,0.0,0.0,0.08333333333333333,0.08333333333333333,,0.0,0.001884920634920635,0.0,0.0,0.001362777077583026,0.0010559375164306045,,0.0
2021-03-24,0.05,0.0,0.0,0.08333333333333333,0.08333333333333333,,0.0,0.001884920634920635,0.0,0.0,0.001362777077583026,0.0010559375164306045,,0.0
2021-03-25,0.05,0.0,0.0,0.1,0.08333333333333333,,0.0,0.001884920634920635,0.0,0.0,0.0015880023028082514,0.0010559375164306045,,0.0
