,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,1.4285714285714286,0.14285714285714285,0.7142857142857143,1.7142857142857142,1.2857142857142858,,0.2857142857142857,0.05725800705777822,0.007936507936507936,0.08464749536178107,0.0317653197994323,0.031565039809027064,,0.02040816326530612
2021-01-08,1.5,0.125,0.875,1.5,1.25,,0.25,0.06146439253919231,0.006944444444444444,0.08656655844155843,0.02779465482450326,0.029457645127016326,,0.017857142857142856
2021-01-09,1.4444444444444444,0.2222222222222222,0.7777777777777778,1.4444444444444444,1.1111111111111112,,0.2222222222222222,0.05926464522002279,0.03395061728395062,0.07694805194805193,0.027555362693005746,0.026184573446236734,,0.015873015873015872
2021-01-10,1.4,0.2,0.7,1.3,1.1,,0.2,0.05833818069802051,0.030555555555555558,0.06925324675324675,0.024799826423705172,0.026005140491856964,,0.014285714285714285
2021-01-11,1.3636363636363635,0.2727272727272727,0.7272727272727273,1.4545454545454546,1.0,0.0,0.18181818181818182,0.056671073361836834,0.04076479076479077,0.0670897284533648,0.029722330241645847,0.02364103681077906,0.0,0.012987012987012986
2021-01-12,1.3333333333333333,0.25,0.6666666666666666,1.4166666666666667,1.0833333333333333,,0.16666666666666666,0.05715681724835043,0.03736772486772487,0.06149891774891774,0.028568220710926684,0.02337163068198965,,0.011904761904761904
2021-01-13,1.3846153846153846,0.3076923076923077,0.6153846153846154,1.6153846153846154,1.0,,0.15384615384615385,0.06045244669078501,0.04148629148629149,0.05676823176823176,0.03149887039982976,0.021573812937221215,,0.010989010989010988
2021-01-14,1.4285714285714286,0.2857142857142857,0.6428571428571429,1.7142857142857142,1.3571428571428572,,0.14285714285714285,0.05970584335572894,0.03852298495155638,0.05668161203875489,0.0347434565800617,0.024691211392015973,,0.01020408163265306
2021-01-15,1.4666666666666666,0.26666666666666666,0.6,1.8,1.4666666666666666,,0.2,0.06066372540361862,0.035954785954785955,0.052902837902837896,0.03599865471281949,0.026270937084161148,,0.013227513227513227
2021-01-16,1.5,0.3125,0.5625,1.875,2.1875,0.0,0.1875,0.06090450063040859,0.04152011183261183,0.04959641053391053,0.03682250928507155,0.027392608958577945,0.0,0.01240079365079365
2021-01-17,1.4705882352941178,0.29411764705882354,0.5294117647058824,1.8823529411764706,2.0588235294117645,,0.17647058823529413,0.06124345157371788,0.03907775231304643,0.04667897462015108,0.0390137778020717,0.025781279019838066,,0.011671335200746966
2021-01-18,1.4444444444444444,0.2777777777777778,0.5555555555555556,2.0555555555555554,2.2222222222222223,,0.16666666666666666,0.060618815375178006,0.03690676607343274,0.04913620330286997,0.04180666316227407,0.029138257771609513,,0.011022927689594356
2021-01-19,1.4210526315789473,0.3157894736842105,0.5789473684210527,2.0526315789473686,2.1052631578947367,,0.15789473684210525,0.059820695905671024,0.04812219943798891,0.050309485835801616,0.04230536780015708,0.027604665257314275,,0.010442773600668337
2021-01-20,1.5,0.3,0.65,2.1,2.05,,0.2,0.061241425816269825,0.04571608946608947,0.06029401154401154,0.04236401245362749,0.026993662763679326,,0.01304563492063492
2021-01-21,1.5238095238095237,0.3333333333333333,0.6190476190476191,2.0476190476190474,2.0,,0.19047619047619047,0.06392740834042504,0.05544389472960902,0.057422868137153846,0.04112731865216669,0.02672142147706035,,0.012424414210128494
2021-01-22,1.6363636363636365,0.3181818181818182,0.6363636363636364,2.1363636363636362,1.9545454545454546,,0.18181818181818182,0.0675151235457304,0.05292371769644497,0.05935819231273776,0.041300795996373624,0.0263980770070692,,0.011859668109668108
2021-01-23,1.565217391304348,0.30434782608695654,0.6086956521739131,2.0434782608695654,1.8695652173913044,,0.17391304347826086,0.06457968339156821,0.05062268649225171,0.05677740134261873,0.03950510921392259,0.02525033452850097,,0.011344030365769494
2021-01-24,1.5416666666666667,0.2916666666666667,0.5833333333333334,1.9583333333333333,1.7916666666666667,0.0,0.16666666666666666,0.06433984364240973,0.04851340788840789,0.054411676286676286,0.03785906299667582,0.0241982372564801,0.0,0.010871362433862433
2021-01-25,1.6,0.28,0.6,1.92,1.92,,0.16,0.06698364120106116,0.04657287157287158,0.05509235209235209,0.037274933034948325,0.02504848958440271,,0.010436507936507935
2021-01-26,1.5769230769230769,0.3076923076923077,0.6153846153846154,2.0,1.8461538461538463,0.0,0.15384615384615385,0.0668111934625588,0.05247391497391497,0.06066572316572316,0.03840538432847595,0.02408508613884876,0.0,0.010035103785103784
2021-01-27,1.5555555555555556,0.3333333333333333,0.6296296296296297,1.962962962962963,1.8888888888888888,,0.14814814814814814,0.06539490587399842,0.05793784404895516,0.06150526428304205,0.03780600795417026,0.024617547335985417,,0.009663433274544385
2021-01-28,1.5357142857142858,0.32142857142857145,0.6071428571428571,2.107142857142857,1.9642857142857142,0.0,0.14285714285714285,0.06405143701341912,0.055868635332921045,0.05930864770150484,0.03916827078040016,0.024678198840903227,0.0,0.009318310657596371
2021-01-29,1.4827586206896552,0.41379310344827586,0.5862068965517241,2.3448275862068964,1.9655172413793103,,0.13793103448275862,0.061842766771577073,0.05652833756282032,0.05726352191869433,0.04126591661555878,0.025234686002617333,,0.008996989600437875
2021-01-30,1.4666666666666666,0.43333333333333335,0.5666666666666667,2.3,1.9333333333333333,0.0,0.16666666666666666,0.061633193064376354,0.05797739297739298,0.05535473785473785,0.040703394191788124,0.02507380191137363,0.0,0.012863756613756612
2021-01-31,1.4666666666666666,0.43333333333333335,,2.3,1.9,0.0,0.16666666666666666,0.061633193064376354,0.05797739297739298,,0.040703394191788124,0.023587959466742286,0.0,0.012863756613756612
2021-02-01,1.5,0.43333333333333335,0.5333333333333333,2.3333333333333335,1.9,,0.16666666666666666,0.06254547376613075,0.05797739297739298,0.05059283309283309,0.04189387038226431,0.023587959466742286,,0.012863756613756612
2021-02-02,1.4333333333333333,0.4666666666666667,0.6,2.3666666666666667,1.9666666666666666,,0.16666666666666666,0.05964692304149307,0.05982924482924483,0.05665343915343915,0.04322720371559764,0.023300603144903207,,0.012863756613756612
2021-02-03,1.4666666666666666,0.4666666666666667,0.5666666666666667,2.3333333333333335,2.0,,0.16666666666666666,0.06103581193038196,0.05982924482924483,0.05189153439153439,0.04230127778967172,0.02394162878592885,,0.012863756613756612
2021-02-04,1.4666666666666666,0.4666666666666667,0.5333333333333333,2.3,1.9333333333333333,,0.16666666666666666,0.06159136748593752,0.05982924482924483,0.047724867724867726,0.04189811700915245,0.022255120849420915,,0.012863756613756612
